ID;Nome Fantasia;% de mercado;Nacionalidade;Associado;Tipo de Associado;Cidade;Estado;País
475;Empresa 475;0,08%;Nacional;Sim;Cooperador;São Paulo;São Paulo;Brasil
27;Empresa 27;0,07%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
110;Empresa 110;0,07%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
94;Empresa 94;0,07%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
128;Empresa 128;0,07%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
737;Empresa 737;0,06%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
139;Empresa 139;0,06%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
24;Empresa 24;0,05%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
45;Empresa 45;0,05%;Nacional;Sim;Efetivo;Jandira;São Paulo;Brasil
777;Empresa 777;0,05%;Nacional;Sim;Cooperador;Joinville;Santa Catarina;Brasil
1236;Empresa 1236;0,04%;Nacional;Sim;Cooperador;;;
1089;Empresa 1089;0,04%;Nacional;Sim;Cooperador;Juiz de Fora;Minas Gerais;Brasil
93;Empresa 93;0,04%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
42;Empresa 42;0,04%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
799;Empresa 799;0,04%;Nacional;Sim;Cooperador;Joinville;Santa Catarina;Brasil
416;Empresa 416;0,04%;Nacional;Sim;Cooperador;Colombo;Paraná;Brasil
1041;Empresa 1041;0,03%;Nacional;Sim;Cooperador;São Paulo;São Paulo;Brasil
30;Empresa 30;0,03%;Nacional;Sim;Efetivo;Nova Lima;Minas Gerais;Brasil
1190;Empresa 1190;0,03%;Multinacional;Sim;Efetivo;;;
579;Empresa 579;0,03%;Nacional;Sim;Efetivo;Nova Odessa;São Paulo;Brasil
749;Empresa 749;0,03%;Nacional;Sim;Cooperador;Barbalha;Ceará;Brasil
882;Empresa 882;0,03%;Multinacional;Sim;Efetivo;Guarulhos;São Paulo;Brasil
1223;Empresa 1223;0,03%;Multinacional;Sim;Cooperador;Aparecida de Goiânia;Goiás;
649;Empresa 649;0,03%;Nacional;Sim;Cooperador;Itatiaia;Rio de Janeiro;Brasil
131;Empresa 131;0,03%;Multinacional;Sim;Efetivo;Campinas;São Paulo;Brasil
828;Empresa 828;0,02%;Nacional;Sim;Cooperador;Floriano;Piauí;Brasil
1027;Empresa 1027;0,02%;Nacional;Sim;Cooperador;Recife;Pernambuco;Brasil
66;Empresa 66;0,02%;Multinacional;Sim;Efetivo;Barueri;São Paulo;Brasil
7;Empresa 7;0,02%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
15;Empresa 15;0,02%;Nacional;Sim;Efetivo;Ribeirão Preto;São Paulo;Brasil
57;Empresa 57;0,02%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
811;Empresa 811;0,02%;Nacional;Sim;Cooperador;Florianópolis;Santa Catarina;Brasil
98;Empresa 98;0,02%;Nacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
759;Empresa 759;0,01%;Nacional;Sim;Cooperador;São Gonçalo;Rio de Janeiro;Brasil
95;Empresa 95;0,01%;Nacional;Sim;Efetivo;Contagem;Minas Gerais;Brasil
888;Empresa 888;0,01%;Nacional;Sim;Cooperador;Porto Alegre;Rio Grande do Sul;
591;Empresa 591;0,01%;Multinacional;Sim;Cooperador;Diadema;São Paulo;Brasil
215;Empresa 215;0,01%;Multinacional;Sim;Efetivo;Cosmópolis;São Paulo;Brasil
1033;Empresa 1033;0,01%;Nacional;Sim;Cooperador;Porto Alegre;Rio Grande do Sul;Brasil
64;Empresa 64;0,01%;Nacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
426;Empresa 426;0,01%;Nacional;Sim;Cooperador;Contagem;Minas Gerais;Brasil
1175;Empresa 1175;0,01%;Nacional;Sim;Cooperador;Limoeiro;Pernambuco;Brasil
117;Empresa 117;0,01%;Nacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
807;Empresa 807;0,01%;Multinacional;Sim;Efetivo;Vargem Grande Paulista;São Paulo;Brasil
81;Empresa 81;0,01%;Nacional;Sim;Efetivo;Goiânia;Goiás;Brasil
851;Empresa 851;0,01%;Nacional;Sim;Cooperador;Aparecida de Goiânia;Goiás;Brasil
953;Empresa 953;0,01%;Nacional;Sim;Efetivo;São Paulo;São Paulo;
1085;Empresa 1085;0,00%;Nacional;Sim;Efetivo;São José do Rio Preto;São Paulo;Brasil
55;Empresa 55;0,00%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
884;Empresa 884;0,00%;Nacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
782;Empresa 782;0,00%;Multinacional;Sim;Cooperador;Barueri;São Paulo;Brasil
21;Empresa 21;0,00%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
53;Empresa 53;0,00%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
75;Empresa 75;0,00%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
92;Empresa 92;0,00%;Multinacional;Sim;Efetivo;Rio de Janeiro;Rio de Janeiro;Brasil
1151;Empresa 1151;0,00%;Nacional;Sim;Cooperador;Rio de Janeiro;Rio de Janeiro;Brasil
1032;Empresa 1032;0,00%;Nacional;Sim;Cooperador;Camaquã;Rio Grande do Sul;Brasil
1025;Empresa 1025;0,00%;Nacional;Sim;Efetivo;Bauru;São Paulo;Brasil
410;Empresa 410;0,00%;Multinacional;Sim;Cooperador;Campo Largo;Paraná;Brasil
22;Empresa 22;0,00%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
1271;Empresa 1271;0,00%;Multinacional;;;;;
610;Empresa 610;0,00%;Nacional;Sim;Cooperador;São Paulo;São Paulo;Brasil
1245;Empresa 1245;0,00%;Multinacional;Sim;Efetivo;;;
1179;Empresa 1179;0,00%;Multinacional;Sim;Cooperador;Anápolis;Goiás;Brasil
25;Empresa 25;0,00%;Nacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
43;Empresa 43;0,00%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
29;Empresa 29;0,00%;Multinacional;Sim;Efetivo;São Paulo;São Paulo;Brasil
286;Empresa 286;0,00%;Nacional;Sim;Cooperador;Valinhos;São Paulo;Brasil
